player,birthday,year,month,yrs
Happy Hairston,31/05/42,1942,may,11
Matt Harpring,31/05/76,1976,may,11
Keith Owens,31/05/69,1969,may,1
Nate Robinson,31/05/84,1984,may,11
Marcus Vinicius,31/05/84,1984,may,2
Isaiah Wilson,31/05/48,1948,may,2
Tony Bennett,01/06/69,1969,june,3
Corey Gaines,01/06/65,1965,june,5
Jerel McNeal,01/06/87,1987,june,1
Xavier Munford,01/06/92,1992,june,2
Johnny O'Bryant,01/06/93,1993,june,4
Brian Oliver,01/06/68,1968,june,4
Smush Parker,01/06/81,1981,june,5
Levern Tart,01/06/42,1942,june,4
Mychel Thompson,01/06/88,1988,june,1
Anthony Tolliver,01/06/85,1985,june,12
Dennis Van Zant,01/06/52,1952,june,1
Nick Young,01/06/85,1985,june,12
Sam Young,01/06/85,1985,june,4
Hank Beenders,02/06/16,1916,june,3
Dennis Bell,02/06/51,1951,june,3
Earl Boykins,02/06/76,1976,june,13
Tom Callahan,02/06/21,1921,june,1
Paul Huston,02/06/25,1925,june,1
Mile Ilić,02/06/84,1984,june,1
Dontae' Jones,02/06/75,1975,june,1
Eric Riley,02/06/70,1970,june,5
Bobby Simmons,02/06/80,1980,june,10
Bill Tosheff,02/06/26,1926,june,3
Al Wood,02/06/58,1958,june,6
Tierre Brown,03/06/79,1979,june,4
Patrick Christopher,03/06/88,1988,june,1
Billy Cunningham*,03/06/43,1943,june,11
Scott Hastings,03/06/60,1960,june,11
Al Horford,03/06/86,1986,june,13
Kurk Lee,03/06/67,1967,june,1
Tommy O'Keefe,03/06/28,1928,june,1
Otto Porter,03/06/93,1993,june,7
Ramón Rivas,03/06/66,1966,june,1
Scott Roth,03/06/63,1963,june,3
Gale Bishop,04/06/22,1922,june,1
Kim Hughes,04/06/52,1952,june,6
Xavier McDaniel,04/06/63,1963,june,12
Greg Monroe,04/06/90,1990,june,9
Tim Perry,04/06/65,1965,june,8
Josh Reaves,04/06/97,1997,june,1
Zhaire Smith,04/06/99,1999,june,2
Johnny Taylor,04/06/74,1974,june,3
David Vaughn,04/06/52,1952,june,2
Bobby Wanzer*,04/06/21,1921,june,9
DeVaughn Akoon-Purcell,05/06/93,1993,june,1
Antonio Anderson,05/06/85,1985,june,1
Matt Bullard,05/06/67,1967,june,11
Ed Davis,05/06/89,1989,june,10
Austin Daye,05/06/88,1988,june,6
Michael Gbinije,05/06/92,1992,june,1
Mike Hall,05/06/84,1984,june,1
Zydrunas Ilgauskas,05/06/75,1975,june,13
Bob Lochmueller,05/06/27,1927,june,1
J.P. Macura,05/06/95,1995,june,2
Billy McKinney,05/06/55,1955,june,7
Royce O'Neale,05/06/93,1993,june,3
Kirk Snyder,05/06/83,1983,june,4
Marcus Thornton,05/06/87,1987,june,8
Jack Turner,05/06/39,1939,june,1
Cal Christensen,06/06/27,1927,june,5
John Garris,06/06/59,1959,june,1
Jonathan Kerner,06/06/74,1974,june,1
Frankie King,06/06/72,1972,june,2
Ollie Mack,06/06/57,1957,june,3
Mitch McGary,06/06/92,1992,june,2
John Rudometkin,06/06/40,1940,june,3
Robert Sacre,06/06/89,1989,june,4
James Scott,06/06/72,1972,june,1
Jackson Vroman,06/06/81,1981,june,2
Roland West,06/06/44,1944,june,1
Chuck Williams,06/06/46,1946,june,8
Jarrell Brantley,07/06/96,1996,june,1
Howie Carl,07/06/38,1938,june,1
Jordan Clarkson,07/06/92,1992,june,6
George Glamack,07/06/18,1918,june,1
Calvin Graham,07/06/44,1944,june,1
Danuel House,07/06/93,1993,june,4
Allen Iverson*,07/06/75,1975,june,14
Jermaine Jackson,07/06/76,1976,june,5
John Laskowski,07/06/53,1953,june,2
Tito Maddox,07/06/81,1981,june,1
Mike Ratliff,07/06/51,1951,june,2
Cazzie Russell,07/06/44,1944,june,12
Mirsad Türkcan,07/06/76,1976,june,1
Bill Zopf,07/06/48,1948,june,1
Wesley Bialosuknia,08/06/45,1945,june,1
Anthony Bonner,08/06/68,1968,june,6
Mark Davis,08/06/63,1963,june,1
Lonnie Eggleston,08/06/18,1918,june,1
Dave Feitl,08/06/62,1962,june,5
Scott Machado,08/06/90,1990,june,2
Mark McNamara,08/06/59,1959,june,8
Thales McReynolds,08/06/43,1943,june,1
Jim Palmer,08/06/33,1933,june,3
Bryant Reeves,08/06/73,1973,june,6
Anfernee Simons,08/06/99,1999,june,2
Ken Wilburn,08/06/44,1944,june,2
Dave Zeller,08/06/39,1939,june,1
Udonis Haslem,09/06/80,1980,june,17
Dwayne Jones,09/06/83,1983,june,5
Billy Knight,09/06/52,1952,june,11
Jim Nolan,09/06/27,1927,june,1
Peja Stojaković,09/06/77,1977,june,13
Brian Taylor,09/06/51,1951,june,10
Sebastian Telfair,09/06/85,1985,june,10
Wayman Tisdale,09/06/64,1964,june,12
Kenny Williams,09/06/69,1969,june,4
Ben Clyde,10/06/51,1951,june,1
Paul Dawkins,10/06/57,1957,june,1
John Gianelli,10/06/50,1950,june,8
Ralph Hamilton,10/06/21,1921,june,1
Steve Lingenfelter,10/06/58,1958,june,2
Jon McGlocklin,10/06/43,1943,june,11
Sviatoslav Mykhailiuk,10/06/97,1997,june,2
Johnny Orr,10/06/27,1927,june,1
Howie Shannon,10/06/23,1923,june,2
Jeff Teague,10/06/88,1988,june,11
Jake Tsakalidis,10/06/79,1979,june,7
Elston Turner,10/06/59,1959,june,8
Jay Vincent,10/06/59,1959,june,9
Tyrone Wallace,10/06/94,1994,june,3
Tommy Woods,10/06/43,1943,june,1
Ira Bowman,11/06/73,1973,june,3
Butch Carter,11/06/58,1958,june,6
Craig Dykema,11/06/59,1959,june,1
Joey Graham,11/06/82,1982,june,6
Stephen Graham,11/06/82,1982,june,6
Chuck Hayes,11/06/83,1983,june,11
Earnie Killum,11/06/48,1948,june,1
Eric Maynor,11/06/87,1987,june,5
Melvin Newbern,11/06/67,1967,june,1
Walter Piatkowski,11/06/45,1945,june,3
Luther Rackley,11/06/46,1946,june,5
Davon Reed,11/06/95,1995,june,2
Ron Sanford,11/06/46,1946,june,1
Mike Todorovich,11/06/23,1923,june,2
Darius Bazley,12/06/00,2000,june,1
Brian Brunkhorst,12/06/45,1945,june,1
Jason Caffey,12/06/73,1973,june,8
John Douglas,12/06/56,1956,june,2
Jake Fendley,12/06/29,1929,june,2
Art Hillhouse,12/06/16,1916,june,2
Jrue Holiday,12/06/90,1990,june,11
Antawn Jamison,12/06/76,1976,june,16
Kerry Kittles,12/06/74,1974,june,8
Joe Kopicki,12/06/60,1960,june,3
Lee Mayberry,12/06/70,1970,june,7
Ray McCallum,12/06/91,1991,june,3
Mychal Mulder,12/06/94,1994,june,1
Al Negratti,12/06/21,1921,june,1
Sergio Rodríguez,12/06/86,1986,june,5
Rory Sparrow,12/06/58,1958,june,12
Earl Watson,12/06/79,1979,june,13
Freddie Boyd,13/06/50,1950,june,6
Paul Cloyd,13/06/20,1920,june,1
Bruce Flowers,13/06/57,1957,june,1
Jack Garfinkel,13/06/18,1918,june,3
Linton Johnson,13/06/80,1980,june,6
Gary Keller,13/06/44,1944,june,2
Jalen Lecque,13/06/00,2000,june,1
Šarūnas Marčiulionis*,13/06/64,1964,june,7
Jamario Moon,13/06/80,1980,june,5
Juan Carlos Navarro,13/06/80,1980,june,1
Chuck Nevitt,13/06/59,1959,june,9
Steve Novak,13/06/83,1983,june,11
Fred Saunders,13/06/51,1951,june,4
Hassan Whiteside,13/06/89,1989,june,8
RJ Barrett,14/06/00,2000,june,1
Bruce Bowen,14/06/71,1971,june,13
Rick Brunson,14/06/72,1972,june,9
Dan Godfread,14/06/67,1967,june,2
Keith Herron,14/06/56,1956,june,3
Cory Higgins,14/06/89,1989,june,2
Jerry Kelly,14/06/18,1918,june,2
Gil McGregor,14/06/49,1949,june,1
Eric Murdock,14/06/68,1968,june,9
Justin Patton,14/06/97,1997,june,3
Charlie Paulk,14/06/46,1946,june,3
Sam Perkins,14/06/61,1961,june,17
Tony Smith,14/06/68,1968,june,9
Gabe Vincent,14/06/96,1996,june,1
Charlie Black,15/06/21,1921,june,3
John Brisker,15/06/47,1947,june,6
Wayne Chapman,15/06/45,1945,june,4
Byron Dinkins,15/06/67,1967,june,2
Michael Doleac,15/06/77,1977,june,10
Mike Harris,15/06/83,1983,june,4
Salah Mejri,15/06/86,1986,june,4
Jérôme Moïso,15/06/78,1978,june,5
Brent Scott,15/06/71,1971,june,1
D.J. Strawberry,15/06/85,1985,june,1
Žan Tabak,15/06/70,1970,june,6
Herb White,15/06/48,1948,june,1
Rick Adelman,16/06/46,1946,june,7
Brandon Armstrong,16/06/80,1980,june,3
Ky Bowman,16/06/97,1997,june,1
Bill Bradley,16/06/41,1941,june,1
Anthony Carter,16/06/75,1975,june,13
Mickey Davis,16/06/50,1950,june,6
Darrell Griffith,16/06/58,1958,june,10
Lee Johnson,16/06/57,1957,june,1
Alex Len,16/06/93,1993,june,7
John Mahnken,16/06/22,1922,june,7
Mamadou N'Diaye,16/06/75,1975,june,5
Nemanja Nedović,16/06/91,1991,june,1
Tree Rollins,16/06/55,1955,june,18
Hank Rosenstein,16/06/20,1920,june,1
Shawnelle Scott,16/06/72,1972,june,4
Al Skinner,16/06/52,1952,june,6
Andrew White,16/06/93,1993,june,1
Bob Armstrong,17/06/33,1933,june,1
Johnny Baum,17/06/46,1946,june,5
Amir Coffey,17/06/97,1997,june,1
Joe Crawford,17/06/86,1986,june,1
Terry Davis,17/06/67,1967,june,10
Nick Fazekas,17/06/85,1985,june,1
Bill Garner,17/06/40,1940,june,1
Ed Johnson,17/06/44,1944,june,3
Edgar Jones,17/06/56,1956,june,6
Popeye Jones,17/06/70,1970,june,11
Georges Niang,17/06/93,1993,june,4
Worthy Patterson,17/06/31,1931,june,1
Allan Ray,17/06/84,1984,june,1
Damjan Rudež,17/06/86,1986,june,3
Odie Spears,17/06/24,1924,june,8
Jim Springer,17/06/26,1926,june,1
Maurice Stokes*,17/06/33,1933,june,3
Michael Bytzura,18/06/22,1922,june,1
Ndudi Ebi,18/06/84,1984,june,2
Jacob Evans,18/06/97,1997,june,2
Mike Kearns,18/06/29,1929,june,1
George Mikan*,18/06/24,1924,june,7
Eddie Miller,18/06/31,1931,june,2
Maurice Ndour,18/06/92,1992,june,1
Bruce Seals,18/06/53,1953,june,5
Moe Barr,19/06/44,1944,june,1
Jud Buechler,19/06/68,1968,june,12
Jimmy Darden,19/06/22,1922,june,1
George Johnson,19/06/47,1947,june,4
Jeremiah Martin,19/06/96,1996,june,1
Travis Mays,19/06/68,1968,june,3
Dirk Nowitzki,19/06/78,1978,june,21
Anthony Parker,19/06/75,1975,june,9
Jordan Poole,19/06/99,1999,june,1
Wayne Stevens,19/06/36,1936,june,1
Skeeter Swift,19/06/46,1946,june,5
Ira Terrell,19/06/54,1954,june,2
Whitey Von Nieda,19/06/22,1922,june,1
Mario West,19/06/84,1984,june,4
Marvin Williams,19/06/86,1986,june,15
Hassan Adams,20/06/84,1984,june,2
Luke Babbitt,20/06/89,1989,june,8
Oshae Brissett,20/06/98,1998,june,1
Josh Childress,20/06/83,1983,june,8
Winston Crite,20/06/65,1965,june,2
Jerry Fowler,20/06/27,1927,june,1
Gordan Giriček,20/06/77,1977,june,6
DeQuan Jones,20/06/90,1990,june,1
Fab Melo,20/06/90,1990,june,1
Darko Miličić,20/06/85,1985,june,10
Patrick O'Bryant,20/06/86,1986,june,4
Rodney Rogers,20/06/71,1971,june,12
Blackie Towery,20/06/20,1920,june,2
Elliot Williams,20/06/89,1989,june,4
Herschel Baltimore,21/06/21,1921,june,1
Mike Brittain,21/06/63,1963,june,2
Tom Chambers,21/06/59,1959,june,16
Derrick Coleman,21/06/67,1967,june,15
Brian Davis,21/06/70,1970,june,1
JaMychal Green,21/06/90,1990,june,6
Greg Hyder,21/06/48,1948,june,1
Richard Jefferson,21/06/80,1980,june,17
Ronnie Price,21/06/83,1983,june,12
Jimmy Rayl,21/06/41,1941,june,2
Derrick Rowland,21/06/59,1959,june,1
Donald Sidle,21/06/46,1946,june,4
Jeremy Tyler,21/06/91,1991,june,3
Floyd Volker,21/06/21,1921,june,1
Loren Woods,21/06/78,1978,june,6
Thaddeus Young,21/06/88,1988,june,13
Cory Alexander,22/06/73,1973,june,7
Greg Anderson,22/06/64,1964,june,10
Darrell Armstrong,22/06/68,1968,june,14
Omri Casspi,22/06/88,1988,june,10
Rastko Cvetković,22/06/70,1970,june,1
Zoran Dragić,22/06/89,1989,june,1
Clyde Drexler*,22/06/62,1962,june,15
Christian Eyenga,22/06/89,1989,june,2
Bob Gantt,22/06/22,1922,june,1
Danny Green,22/06/87,1987,june,11
Norm Grekin,22/06/30,1930,june,1
Milo Komenich,22/06/20,1920,june,1
Pete Maravich*,22/06/47,1947,june,10
Keith McCord,22/06/57,1957,june,1
John Oldham,22/06/23,1923,june,2
Carlos Terry,22/06/56,1956,june,3
Hawkeye Whitney,22/06/57,1957,june,2
David Andersen,23/06/80,1980,june,2
Nando De Colo,23/06/87,1987,june,2
Walter Dukes,23/06/30,1930,june,8
Acie Earl,23/06/70,1970,june,4
Mark Hendrickson,23/06/74,1974,june,4
Mike James,23/06/75,1975,june,12
Pete Lalich,23/06/20,1920,june,1
Rich Manning,23/06/70,1970,june,2
Anthony Pullard,23/06/66,1966,june,1
Sam Ranzino,23/06/28,1928,june,1
Jerry Rullo,23/06/23,1923,june,4
LaSalle Thompson,23/06/61,1961,june,15
Rudy White,23/06/53,1953,june,5
Dontonio Wingfield,23/06/74,1974,june,4
Alaa Abdelnaby,24/06/68,1968,june,5
Larry Foust,24/06/28,1928,june,12
Taj Gibson,24/06/85,1985,june,11
Lancaster Gordon,24/06/62,1962,june,4
Art Heyman,24/06/41,1941,june,6
Les Jepsen,24/06/67,1967,june,2
Kannard Johnson,24/06/65,1965,june,1
Sam Jones*,24/06/33,1933,june,12
Luke Kennard,24/06/96,1996,june,3
Steve Patterson,24/06/48,1948,june,5
J.J. Redick,24/06/84,1984,june,14
Daniel Santiago,24/06/76,1976,june,4
David Stockton,24/06/91,1991,june,2
Leon Blevins,25/06/26,1926,june,1
Duane Cooper,25/06/69,1969,june,2
Dell Curry,25/06/64,1964,june,16
Michael Dickerson,25/06/75,1975,june,5
Glenn Hagan,25/06/55,1955,june,1
Reggie Johnson,25/06/57,1957,june,4
Frank Kudelka,25/06/25,1925,june,4
Ian Lockhart,25/06/67,1967,june,1
Dikembe Mutombo*,25/06/66,1966,june,18
Willis Reed*,25/06/42,1942,june,10
J.J. Barea,26/06/84,1984,june,14
Bob Bedell,26/06/44,1944,june,4
Raymond Felton,26/06/84,1984,june,14
Rudy Gobert,26/06/92,1992,june,7
Hal Greer*,26/06/36,1936,june,15
Walter Herrmann,26/06/79,1979,june,3
Jerome Kersey,26/06/62,1962,june,17
Tony Koski,26/06/46,1946,june,1
Quincy Lewis,26/06/77,1977,june,4
Jay Murphy,26/06/62,1962,june,4
Iman Shumpert,26/06/90,1990,june,9
Deron Williams,26/06/84,1984,june,12
Ward Williams,26/06/23,1923,june,1
Malik Allen,27/06/78,1978,june,10
John Barber,27/06/27,1927,june,1
Alex Blackwell,27/06/70,1970,june,1
Stan Brown,27/06/29,1929,june,2
Russell Critchfield,27/06/46,1946,june,1
Larry Demic,27/06/57,1957,june,3
Landry Fields,27/06/88,1988,june,5
Craig Hodges,27/06/60,1960,june,10
Brice Johnson,27/06/94,1994,june,2
Kevin Joyce,27/06/51,1951,june,3
Monte Morris,27/06/95,1995,june,3
Chuck Person,27/06/64,1964,june,13
Ed Peterson,27/06/24,1924,june,2
Joe Young,27/06/92,1992,june,3
Bradley Beal,28/06/93,1993,june,8
Damone Brown,28/06/79,1979,june,4
Bobby Hurley,28/06/71,1971,june,5
Andrew Lang,28/06/66,1966,june,12
Jeff Malone,28/06/61,1961,june,13
Tom Owens,28/06/49,1949,june,12
Giff Roux,28/06/23,1923,june,3
Jim Spanarkel,28/06/57,1957,june,5
Rodney White,28/06/80,1980,june,4
Terrence Williams,28/06/87,1987,june,4
Jake Bornheimer,29/06/27,1927,june,2
Bob Burrow,29/06/34,1934,june,2
Terry Dozier,29/06/66,1966,june,1
Joe Johnson,29/06/81,1981,june,17
Willie Jones,29/06/36,1936,june,5
Bob Lavoy,29/06/26,1926,june,4
Kawhi Leonard,29/06/91,1991,june,9
Gene Littles,29/06/43,1943,june,6
Shamorie Ponds,29/06/98,1998,june,1
Michael Porter,29/06/98,1998,june,1
Bob Rule,29/06/44,1944,june,8
Doug Sims,29/06/43,1943,june,1
Jack Turner,29/06/30,1930,june,1
Trevor Ariza,30/06/85,1985,june,16
Warren Davis,30/06/43,1943,june,6
Bubbles Hawkins,30/06/54,1954,june,4
Damian Jones,30/06/95,1995,june,4
Gene Ollrich,30/06/22,1922,june,1
Tariq Owens,30/06/95,1995,june,1
Mitch Richmond*,30/06/65,1965,june,14
Fred Schaus,30/06/25,1925,june,5
Kent Bazemore,01/07/89,1989,july,8
George Bon Salle,01/07/35,1935,july,1
Sean Colson,01/07/75,1975,july,1
Charles Cooke,01/07/94,1994,july,1
James Ennis,01/07/90,1990,july,6
Tom Kozelko,01/07/51,1951,july,3
Ibo Kutluay,01/07/74,1974,july,1
Freddie Lewis,01/07/43,1943,july,11
Bucky McConnell,01/07/28,1928,july,1
Mike Muscala,01/07/91,1991,july,7
Jim Washington,01/07/43,1943,july,11
Guy Williams,01/07/60,1960,july,2
Bracey Wright,01/07/84,1984,july,2
Marquese Chriss,02/07/97,1997,july,4
Larry Costello,02/07/31,1931,july,12
Bob Dille,02/07/17,1917,july,1
George Feigenbaum,02/07/28,1928,july,2
Juaquin Hawkins,02/07/73,1973,july,1
Elvin Ivory,02/07/48,1948,july,1
Clark Kellogg,02/07/61,1961,july,5
Jim Lampley,02/07/60,1960,july,1
Maurice Martin,02/07/64,1964,july,2
Andre Moore,02/07/64,1964,july,1
Rich Niemann,02/07/46,1946,july,4
George Pearcy,02/07/19,1919,july,1
Curtis Rowe,02/07/49,1949,july,8
Purvis Short,02/07/57,1957,july,12
Jon Sundvold,02/07/61,1961,july,9
Derrick White,02/07/94,1994,july,3
Jabari Bird,03/07/94,1994,july,1
David Burns,03/07/58,1958,july,1
Bob Carrington,03/07/53,1953,july,2
Derrick Chievous,03/07/67,1967,july,3
Jamie Feick,03/07/74,1974,july,5
Marlon Garnett,03/07/75,1975,july,1
Jeff Halliburton,03/07/49,1949,july,2
Collis Jones,03/07/49,1949,july,4
Paul McPherson,03/07/78,1978,july,1
Boštjan Nachbar,03/07/80,1980,july,6
Georgios Papagiannis,03/07/97,1997,july,2
Aulcie Perry,03/07/50,1950,july,1
Willie Porter,03/07/42,1942,july,2
Alex Scales,03/07/78,1978,july,1
Howie Schultz,03/07/22,1922,july,3
Charlie Sitton,03/07/62,1962,july,1
Garry Witts,03/07/59,1959,july,1
Ömer Aşık,04/07/86,1986,july,8
DeAndre' Bembry,04/07/94,1994,july,4
Adrian Caldwell,04/07/66,1966,july,6
Jay Carty,04/07/41,1941,july,1
Coty Clarke,04/07/92,1992,july,1
Geoff Crompton,04/07/55,1955,july,5
Chink Crossin,04/07/23,1923,july,3
Harvey Grant,04/07/65,1965,july,11
Horace Grant,04/07/65,1965,july,17
Adrian Griffin,04/07/74,1974,july,9
Al Lucas,04/07/22,1922,july,1
Jawann Oldham,04/07/57,1957,july,10
Kobi Simmons,04/07/97,1997,july,2
Henry Bacon,05/07/48,1948,july,1
Raymond Brown,05/07/65,1965,july,1
Bob Duffy,05/07/22,1922,july,1
Joe Hamilton,05/07/48,1948,july,6
Adam Harrington,05/07/80,1980,july,1
Brendan McCann,05/07/35,1935,july,3
Eddie Miles,05/07/40,1940,july,9
Alan Ogg,05/07/67,1967,july,3
Wayne Pack,05/07/50,1950,july,1
Mark Radford,05/07/59,1959,july,2
Ed Smith,05/07/29,1929,july,1
Ish Smith,05/07/88,1988,july,10
Beno Udrih,05/07/82,1982,july,13
Andrew Anderson,06/07/45,1945,july,3
Jae Crowder,06/07/90,1990,july,8
Al Ferrari,06/07/33,1933,july,6
Herm Fuetsch,06/07/18,1918,july,1
Pau Gasol,06/07/80,1980,july,18
Elias Harris,06/07/89,1989,july,1
Antonio Harvey,06/07/70,1970,july,8
Wally Osterkorn,06/07/28,1928,july,4
Bob Riley,06/07/48,1948,july,1
Jeff Webb,06/07/48,1948,july,2
Zion Williamson,06/07/00,2000,july,1
Chris Andersen,07/07/78,1978,july,15
Jim Barnett,07/07/44,1944,july,11
Tommie Bowens,07/07/40,1940,july,3
Eric Dawson,07/07/84,1984,july,1
Cristiano Felício,07/07/92,1992,july,5
Tom Garrick,07/07/66,1966,july,4
Devon Hall,07/07/95,1995,july,1
Chris Hunter,07/07/84,1984,july,1
Rick Roberson,07/07/47,1947,july,7
Brandon Rush,07/07/85,1985,july,9
Ralph Sampson*,07/07/60,1960,july,9
Johnny Simmons,07/07/24,1924,july,1
John Warren,07/07/47,1947,july,5
Jordan Adams,08/07/94,1994,july,2
Bucky Bockhorn,08/07/33,1933,july,7
Bayard Forrest,08/07/54,1954,july,2
Sylvester Gray,08/07/67,1967,july,1
Ty Jerome,08/07/97,1997,july,1
Grant Jerrett,08/07/93,1993,july,1
Britton Johnsen,08/07/79,1979,july,2
Jim Mooney,08/07/30,1930,july,1
Don Ray,08/07/21,1921,july,1
Dave Sorenson,08/07/48,1948,july,3
Hakim Warrick,08/07/82,1982,july,8
Sonny Weems,08/07/86,1986,july,4
Wang Zhizhi,08/07/77,1977,july,5
Tom Black,09/07/41,1941,july,1
George Bucci,09/07/53,1953,july,1
Al Butler,09/07/38,1938,july,4
Joe Dolhon,09/07/27,1927,july,2
Ron Grandison,09/07/64,1964,july,4
Kevin Hervey,09/07/96,1996,july,1
Major Jones,09/07/53,1953,july,6
Jordan Mickey,09/07/94,1994,july,3
Bob Miller,09/07/56,1956,july,1
Jaylen Nowell,09/07/99,1999,july,1
Jim Paxson,09/07/57,1957,july,11
Jim Pollard*,09/07/22,1922,july,7
Mike Riordan,09/07/45,1945,july,9
Johnny Bach,10/07/24,1924,july,1
Ken Charles,10/07/51,1951,july,5
Jared Dudley,10/07/85,1985,july,13
Allie McGuire,10/07/51,1951,july,1
Cliff Meely,10/07/47,1947,july,5
Kevin O'Shea,10/07/25,1925,july,3
Bob Thornton,10/07/62,1962,july,8
Harry Zeller,10/07/19,1919,july,1
Pat Cummings,11/07/56,1956,july,12
Dick Cunningham,11/07/46,1946,july,7
A.J. English,11/07/67,1967,july,2
Calvin Garrett,11/07/56,1956,july,4
Clem Haskins,11/07/43,1943,july,9
Lou Hudson,11/07/44,1944,july,13
Wesley Johnson,11/07/87,1987,july,9
Ron King,11/07/51,1951,july,1
Rich Laurel,11/07/54,1954,july,1
Tony Lavelli,11/07/26,1926,july,2
Ray Lumpp,11/07/23,1923,july,5
Malcolm Mackey,11/07/70,1970,july,1
Eduardo Nájera,11/07/76,1976,july,12
John Pilch,11/07/25,1925,july,1
Ed Sadowski,11/07/17,1917,july,4
Woody Sauldsberry,11/07/34,1934,july,7
Rod Strickland,11/07/66,1966,july,17
Isaiah Taylor,11/07/94,1994,july,2
George Trapp,11/07/48,1948,july,6
Jeff Trepagnier,11/07/79,1979,july,3
Bobby Washington,11/07/47,1947,july,3
Travis Best,12/07/72,1972,july,10
Patrick Beverley,12/07/88,1988,july,8
Shai Gilgeous-Alexander,12/07/98,1998,july,2
Drew Gordon,12/07/90,1990,july,1
Geert Hammink,12/07/69,1969,july,3
Jimmy Oliver,12/07/69,1969,july,5
Mel Riebe,12/07/16,1916,july,3
Ray Scott,12/07/38,1938,july,11
Paul Silas,12/07/43,1943,july,16
Ken Smith,12/07/53,1953,july,1
Red Wallace,12/07/18,1918,july,1
Jasper Wilson,12/07/47,1947,july,2
Dick Bunt,13/07/30,1930,july,1
Dante Exum,13/07/95,1995,july,5
Michael Jackson,13/07/64,1964,july,3
Bob Kauffman,13/07/46,1946,july,7
Stu Lantz,13/07/46,1946,july,8
Arinze Onuaku,13/07/87,1987,july,3
George Pastushok,13/07/22,1922,july,1
Cal Ramsey,13/07/37,1937,july,2
Frank Ramsey*,13/07/31,1931,july,9
David Thompson*,13/07/54,1954,july,9
Spud Webb,13/07/63,1963,july,12
Renaldo Balkman,14/07/84,1984,july,6
Wallace Bryant,14/07/59,1959,july,3
Erick Dampier,14/07/75,1975,july,16
Jeff Foote,14/07/87,1987,july,1
Wah Wah Jones,14/07/26,1926,july,3
Johnny Mathis,14/07/43,1943,july,1
Shabazz Napier,14/07/91,1991,july,6
James Nunnally,14/07/90,1990,july,2
Stan Pietkiewicz,14/07/56,1956,july,3
Marshall Plumlee,14/07/92,1992,july,2
Harold Pressley,14/07/63,1963,july,4
Lou Roe,14/07/72,1972,july,2
Mark Strickland,14/07/70,1970,july,8
Bernard Toone,14/07/56,1956,july,1
Ken Austin,15/07/61,1961,july,1
Norton Barnhill,15/07/53,1953,july,1
Archie Clark,15/07/41,1941,july,10
John Crotty,15/07/69,1969,july,11
Troy Daniels,15/07/91,1991,july,7
Bill Dinwiddie,15/07/43,1943,july,4
Derrick Favors,15/07/91,1991,july,10
Tobias Harris,15/07/92,1992,july,9
Tyler Honeycutt,15/07/90,1990,july,2
Stephen Howard,15/07/70,1970,july,4
Chris Johnson,15/07/85,1985,july,3
Lee Knorek,15/07/21,1921,july,4
Luke Kornet,15/07/95,1995,july,3
Damian Lillard,15/07/90,1990,july,8
Chris McNealy,15/07/61,1961,july,3
Allen Murphy,15/07/52,1952,july,2
Anthony Randolph,15/07/89,1989,july,6
Khalid Reeves,15/07/72,1972,july,6
Richard Washington,15/07/55,1955,july,6
Lorenzo Williams,15/07/69,1969,july,7
Gary Bergen,16/07/32,1932,july,1
Lanard Copeland,16/07/65,1965,july,2
Rowland Garrett,16/07/50,1950,july,5
Lew Hitch,16/07/29,1929,july,6
Solomon Jones,16/07/84,1984,july,8
Chris Mihm,16/07/79,1979,july,8
Timofey Mozgov,16/07/86,1986,july,8
Mel Payton,16/07/26,1926,july,2
Desmond Penigar,16/07/81,1981,july,1
Zach Randolph,16/07/81,1981,july,17
Mike Scott,16/07/88,1988,july,8
Charles Smith,16/07/65,1965,july,9
Ricky Wilson,16/07/64,1964,july,1
Bob Allen,17/07/46,1946,july,1
OG Anunoby,17/07/97,1997,july,3
Vander Blue,17/07/92,1992,july,3
Calbert Cheaney,17/07/71,1971,july,13
Connie Hawkins*,17/07/42,1942,july,9
Charles Jones,17/07/75,1975,july,2
Red Kerr,17/07/32,1932,july,12
Ed Leede,17/07/27,1927,july,2
Slick Leonard*,17/07/32,1932,july,7
Horacio Llamas Grey,17/07/73,1973,july,2
Donny Marshall,17/07/72,1972,july,5
Kevin Pritchard,17/07/67,1967,july,4
Bob Warren,17/07/46,1946,july,8
Eric Williams,17/07/72,1972,july,12
Bam Adebayo,18/07/97,1997,july,3
Derek Anderson,18/07/74,1974,july,11
Thanasis Antetokounmpo,18/07/92,1992,july,2
Jerry Chambers,18/07/43,1943,july,6
Joe Crispin,18/07/79,1979,july,1
Donnie Freeman,18/07/44,1944,july,9
Mike Gale,18/07/50,1950,july,11
Anfernee Hardaway,18/07/71,1971,july,14
Wardell Jackson,18/07/51,1951,july,1
Clay Johnson,18/07/56,1956,july,3
York Larese,18/07/38,1938,july,1
Adam Mokoka,18/07/98,1998,july,1
Ray Ramsey,18/07/21,1921,july,1
Walter Sharpe,18/07/86,1986,july,1
Wally Walker,18/07/54,1954,july,8
Alvan Adams,19/07/54,1954,july,13
LaMarcus Aldridge,19/07/85,1985,july,14
Mike Brown,19/07/63,1963,july,11
George Dempsey,19/07/29,1929,july,5
Alex Hannum*,19/07/23,1923,july,8
Alfredrick Hughes,19/07/62,1962,july,1
Tom Kerwin,19/07/44,1944,july,1
